id,content,category,channel
t-001,我的订单三天了还没发货麻烦帮我查一下物流谢谢,物流查询,chat
t-002,申请退款商品质量有问题已经拍照留存希望尽快处理,退款,email
t-003,无法登录账号提示密码错误但是我确定没改过,账号问题,chat
t-004,商品破损要求换货联系邮箱 customer@example.com,退换货,email
t-005,优惠券无法使用结算时报错请帮忙看一下,支付问题,chat
t-006,请问怎么修改收货地址订单还没发货,订单修改,chat
t-007,已经申请退款一周了还没到账我的手机是13800138000,退款,phone
t-008,物流显示已签收但我没收到包裹,物流查询,chat
t-009,账号被锁定了怎么解锁,账号问题,chat
t-010,付款的时候页面卡住了不知道扣没扣款,支付问题,chat
t-011,退货流程走完了什么时候能收到退款,退换货,email
t-012,订单里多了一件商品怎么取消,订单修改,chat
t-013,收到的商品和描述不符要求退款,退款,email
t-014,咨询一下会员权益有哪些,会员咨询,chat
t-015,发票怎么申请开电子发票,发票咨询,email
t-016,商品缺件少发了配件麻烦补发,售后补发,phone
t-017,无法使用积分抵扣请帮忙处理,支付问题,chat
t-018,物流单号查不到任何信息,物流查询,chat
t-019,账号注册时收不到验证码,账号问题,chat
t-020,商品有色差想换一个颜色,退换货,email
